Saison Artikel - Weihnachten - Nüsse;Nüsse;;
Saison Artikel - Weihnachten - Trockenfrüchte;Trockenfrüchte;;
Saison Artikel - Weihnachten - Konserven;Feinkost;;
Saison Artikel - Weihnachten - Kakao- und Schokogetränke/Instantgetränke;Kakao und Trinkschokolade;;
Saison Artikel - Weihnachten - Zucker/Süßungsmittel;Zucker;;
Zum Kochen und Backen - Reis;Reis;;
Zum Kochen und Backen - Quinua;Quinoa;;
Nudeln/Mehl - Italien - „mafiafrei“;Nudeln;;
Nudeln/Mehl - Feinkost/Sonstiges;Feinkost;!!!;enthält auch Linsen, Bohnen, Kichererbesen
Nudeln/Mehl - Essig und Öl, Senf und Saucen;Essig und Öl;!!!;enthält auch Senf und Würzsoßen
Nudeln/Mehl - Kräuter und Gewürze;Gewürze und Kräuter;;
Nudeln/Mehl - Kräuter und Gewürze in der Mühle/Nachfüller;Gewürze und Kräuter;;
Alkoholische Getränke - Rotwein - Südafrika;Wein;;
Alkoholische Getränke - Rotwein - Argentinien;Wein;;
Alkoholische Getränke - Rotwein - Chile;Wein;;
Alkoholische Getränke - Rotwein - Italien - „mafiafrei“;Wein;;
Rosé - Südafrika;Wein;;
Rosé - Chile;Wein;;
Rosé - Italien - „mafiafrei“;Wein;;
Weißwein - Südafrika;Wein;;
Weißwein - Argentinien;Wein;;
Weißwein - Chile;Wein;;
Weißwein - Italien - „mafiafrei“;Wein;;
Weißwein - Sekt/Schaumwein;Wein;;
Weißwein - Edle Spirituosen;Alkoholische Getränke pfandfrei;;
Weißwein - Rum;Rum;;
Weißwein - Wein-Präsentkartons;Ergänzungsprodukte;;
Erfrischungsgetränke - Saft;Alkoholfreie Getränke 15 Cent Pfand;;
Erfrischungsgetränke - Cola, Limo, Smoothies;Alkoholfreie Getränke 8 Cent Pfand;;
Erfrischungsgetränke - Konzentrat/Sirup;Alkoholfreie Getränke pfandfrei;;
Großpackungen/Unverpackt - Kaffee - Röstkaffee;Kaffee;;
Großpackungen/Unverpackt - Kaffee - Espresso/Schümli;Espresso;;
Großpackungen/Unverpackt - Kaffee - Instantkaffee;Instantkaffee;;
Großpackungen/Unverpackt - Kaffee - Kochen und Backen;Getreide und Hülsenfrüchte;;
