#Produktgruppe;Lieferant;Artikelnummer;Bezeichnung;Barcode;Herkunftsland;VPE;VK-Preis;EK-Preis;Variabel
Gewürze und Kräuter;EP;sl115503;Zimt, gemahlen 30 g;;Sri Lanka;5;1,8;;
Gewürze und Kräuter;EP;sl115502;Zimtstangen, ganz 30 g;;Sri Lanka;5;2,5;;
Gewürze und Kräuter;EP;bo315127;Zitronenmelisse, kbA,  20 g;;Bolivien;5;1,3;;
Gewürze und Kräuter;EP;sl315902;„Weihnachtsgewürze“ Box mit 8 Gewürzen 180 g;;Sri  Lanka;9;9,9;;
Gewürze und Kräuter;dwp;rfb116031;Basilikum, kbA, gerebelt 20 g;;;5;1,6;;
Gewürze und Kräuter;dwp;rfb116051;Bohnenkraut, kbA, gerebelt 20 g;;;5;2;;
Gewürze und Kräuter;dwp;rfb116006;Chili, kbA, gemahlen 30 g;;;5;2,3;;
Gewürze und Kräuter;dwp;rfb116002;Curry, mild, kbA, gemahlen 50 g;;;5;2,6;;
Gewürze und Kräuter;dwp;rfb116003;Curry, mittelscharf, kbA, gemahlen 50 g;;;5;2,6;;
Gewürze und Kräuter;dwp;rfb116004;Curry, scharf, kbA, gemahlen 50 g;;;5;2,6;;
Gewürze und Kräuter;dwp;rfb116026;Dillspitzen, kbA 20 g;;;5;2;;
Gewürze und Kräuter;dwp;rfb116054;Garam Masala Gewürzmischung, gemahlen 50 g;;;5;4,9;;
Gewürze und Kräuter;dwp;rfb116043;Gewürzsalz, Nachfüllpackung 100 g;;;5;3,5;;
Gewürze und Kräuter;dwp;rfb116046;Glühweinmischung, kbA 50 g;;;5;2,9;;
Gewürze und Kräuter;dwp;rfb116007;Ingwer, kbA, gemahlen 40 g;;;5;2,8;;
Gewürze und Kräuter;dwp;rfb116016;Kardamom, kbA,  ganz 20 g;;;5;2,7;;
Gewürze und Kräuter;dwp;rfb116020;Koriander, kbA, ganz 50 g;;;5;2,1;;
Gewürze und Kräuter;dwp;rfb116033;Kräuter der Provence, kbA 30 g;;;5;2,5;;
Gewürze und Kräuter;dwp;rfb116041;Kräutersalz, Nachfüllpack 100 g;;;5;2,7;;
Gewürze und Kräuter;dwp;rfb116027;Kreuzkümmel, kbA, ganz 50 g;;;5;2,3;;
Gewürze und Kräuter;dwp;rfb116019;Kümmel, kbA, ganz 50 g;;;5;2,2;;
Gewürze und Kräuter;dwp;rfb116047;Lebkuchengewürz, kbA 50 g;;;5;2,7;;
Gewürze und Kräuter;dwp;rfb116024;Lorbeer-Blätter, kbA 10 g;;;5;2;;
Gewürze und Kräuter;dwp;rfb116052;Majoran, gerebelt, kbA 16 g;;;5;1,8;;
Gewürze und Kräuter;dwp;rfb116008;Muskatnuss, kbA, ganz 30 g;;;5;3,4;;
Gewürze und Kräuter;dwp;rfb116009;Nelken, kbA, ganz 30 g;;;5;2,6;;
Gewürze und Kräuter;dwp;rfb116022;Oregano, kbA, gerebelt 20 g;;;5;1,8;;
Gewürze und Kräuter;dwp;rfb116029;Paprika edelsüss, kbA 50 g;;;5;3,2;;
Gewürze und Kräuter;dwp;rfb116061;Paprika scharf, kbA 40 g;;;5;3,2;;
Gewürze und Kräuter;dwp;rfb116057;Pfeffer rosa, ganz, kbA 30 g;;;5;3,9;;
Gewürze und Kräuter;dwp;rfb116010;Pfeffer schwarz, ganz, kbA 50 g;;;5;2,7;;
Gewürze und Kräuter;dwp;rfb116011;Pfeffer schwarz, gemahlen, kbA 50 g;;;5;2,9;;
Gewürze und Kräuter;dwp;rfb116012;Pfeffer weiss, ganz, kbA 50 g;;;5;3,2;;
Gewürze und Kräuter;dwp;rfb116013;Pfeffer weiss, gemahlen, kbA 50 g;;;5;3,4;;
Gewürze und Kräuter;dwp;rfb116048;"Pfeffer-Mix ""Klassik"", ganz, kbA 50 g";;;5;3,5;;
Gewürze und Kräuter;dwp;rfb116062;"Pfeffer-Mix ""Exotik"", ganz, kbA 50 g";;;5;3,8;;
Gewürze und Kräuter;dwp;rfb116034;Pizza & Spaghetti-Mischung, kbA 30 g;;;5;2;;
Gewürze und Kräuter;dwp;rfb116028;Rosmarin, kbA, geschnitten 30 g;;;5;1,8;;
Gewürze und Kräuter;dwp;rfb116049;Safran-Fäden, kbA 0,5 g;;;5;5,9;;
