#Produktgruppe;Lieferant;Artikelnummer;Bezeichnung;Barcode;Herkunftsland;VPE;VK-Preis;EK-Preis;Variabel
Alkoholfreie Getränke pfandfrei;dwp;rph817037;Apfel-Mango-Saft 3L Bag-in-Box 3,0 l;;Deutschland, Philippinen;1;6,99;;
Alkoholfreie Getränke 25 Cent Pfand;EP;py218090;Eistee Mate-Zitrone mit Guarana, zur WM 2014, zzgl. 0,25 € Einwegpfand 0,5 l;;diverse;6;1,29;;
Alkoholfreie Getränke 25 Cent Pfand;EP;py218050;Eistee Mate-Zitrone PET-Einwegfl., zzgl. 0,25 Euro Einwegpfand 0,5 l;;Argentinien, Paraguay;6;1,29;;
Alkoholfreie Getränke 25 Cent Pfand;EP;py218100;Eistee Grüntee-Maracuja, PET-Einwegfl., zzgl. 0,25 Euro Einwegpfand 0,5 l;;diverse;6;1,29;;
Alkoholfreie Getränke pfandfrei;EP;int18400;Eiskaffee 230 ml;;diverse;12;1,79;;
Alkoholfreie Getränke pfandfrei;EP;int18500;Eisschokolade 230 ml;;diverse;12;1,79;;
Alkoholfreie Getränke pfandfrei;BanaFair;BF010;Banane-Apfel-Smoothie 0,25l;;Costa Rica/Deutschl.;12;1,99;;
Alkoholfreie Getränke pfandfrei;BanaFair;BF020;Banane-Waldfrucht-Smoothie 0,25l;;Costa Rica/Deutschl.;12;1,99;;
Alkoholfreie Getränke pfandfrei;BanaFair;BF030;Banane-Tropical-Smoothie 0,25l;;Costa Rica/Deutschl.;12;1,99;;
Alkoholfreie Getränke pfandfrei;dwp;rph817042;Mango-Bananen-Calamansi-Smoothie 0,25l;;Philippinen;12;1,99;;
Alkoholfreie Getränke pfandfrei;dwp;rph817043;Ananas-Bananen-Maracuja Smoothie 0,25l;;Philippinen;12;1,99;;
Alkoholfreie Getränke pfandfrei;EP;int18100;Bio-Lassi Mango-Orange 0,5l;;diverse ;8;1,99;;
Alkoholfreie Getränke pfandfrei;EP;int18200;Bio-Lassi Banane 0,5l;;diverse ;8;1,99;;
Alkoholfreie Getränke pfandfrei;EP;int18300;Bio-Lassi Multifrucht 0,5l;;diverse ;8;1,99;;
Alkoholfreie Getränke 8 Cent Pfand;EP;cr118233;Costa Rica Cola zzgl. Mehrwegpfand 0,33l;;Costa Rica;24;0,9;;
Alkoholfreie Getränke 8 Cent Pfand;GEPA;8912011;Bio Limo zzgl. Mehrwegpfand 0,33l;;Brasilien Paraguay;12;0,99;;
Feinkost;dwp;rph817002;Mango-Sirup 750ml;;Philippipnen;6;5,19;;
Feinkost;dwp;rph817007;Mango-Sirup 250ml;;Philippipnen;6;3,19;;
Feinkost;dwp;rpa017001;Mochito-Sirup 250ml;;Philippipnen;6;3,5;;
Feinkost;EP;gf110101;Fruchtsirup Ananas 200 ml;;Französisch-Guayana;6;6,95;;
Feinkost;EP;gf110103;Fruchtsirup Ingwer 200 ml;;Französisch-Guayana;6;6,95;;
Feinkost;EP;gf110104;Fruchtsirup Hibiskus 200 ml;;Französisch-Guayana;6;6,95;;
Bananen;BanaFair;BF040;Frische Bananen;;Ecuador;1;0,5;;
Ergänzungsprodukte;GEPA/and;2801;Kaffeefilter Gr. 4 100 Stk.;;Deutschland;12;2,1;;
Ergänzungsprodukte;GEPA/and;2803;Teefilter Umweltschutzpapier 100 Stk.;;Deutschland;40;2,85;;
Ergänzungsprodukte;GEPA/and;8839801;Teefilter-Clip 1 St.;;Deutschland;1;1,5;;
